year,tdc1,salary,bonus,opt_unex_exer_est_val,stock_unvest_val,opt_exer_val,tdc_median
1992.0,918.6141513629827,273.08954207582326,163.54550180236183,652.8658240038727,277.5280777544764,391.23964768511064,517.7275
1993.0,952.8974825518645,277.89999633438504,180.89065003563766,917.1301567002433,335.56646257809473,303.1255111564458,540.799
1994.0,1073.9345477481522,282.9410052390304,200.58577313125667,872.0956501540664,313.0539220194356,225.0699806826262,582.73
1995.0,1148.0547797401964,291.8370179330762,216.09143419754207,1509.093479660808,388.5746904130134,307.76740937932715,608.052
1996.0,1476.7957900030415,298.8462164842669,254.68945887482886,2046.0900457421606,495.18656208903667,463.03018458553504,711.7739999999999
1997.0,1790.544144094338,306.5992903755278,272.3721511564283,3123.2859808928683,934.8334737594521,714.0020828256318,795.654
1998.0,1999.5382858829157,316.5901911741472,266.9997822455763,3542.193178693811,1074.1739770419263,967.2891575388053,855.8
1999.0,2510.4296332228455,331.39777115605267,323.4007065334859,5438.993433919218,1228.227085084227,1091.9860252780625,970.312
2000.0,3194.363804122861,350.14919606654047,360.91170325766797,5107.945075203286,706.3148841905173,1872.5543575879194,1075.981
2001.0,2818.563362223158,365.17234981553037,319.20543078882866,3650.940507767742,687.210589026002,1029.8183091670335,1072.0145
2002.0,2274.544966272406,374.24938256769536,337.4850980880692,2263.649913379899,628.3076567608872,613.0346457492084,1059.5215
2003.0,2100.7248235925645,384.85315112126625,387.7700445519161,3485.6968770313747,830.2763355967295,827.4230943639384,1023.143
2004.0,2398.987856239183,411.2765118213501,482.4983819882635,4288.65449217649,1059.3491036853725,1201.862327506055,1232.19
2005.0,2609.790121705178,442.85255055922437,566.1731022092052,4485.86126031143,1315.436696363242,1445.398719873695,1305.348
2006.0,2659.7525234255213,429.4472954151865,227.5435646066909,4355.615832105324,1457.8421695097718,1390.203709397125,1319.78
2007.0,2485.6609599229023,422.5277189532368,152.84422785692155,3113.988499474253,1310.7117899877778,1274.6691083282692,1211.274
2008.0,2302.7317417164522,441.2155049725241,123.42230426701131,1041.7633370100125,815.5908987543539,652.1527304581696,1181.2175
2009.0,2147.6795794364725,452.974511076142,113.97180321488997,1430.349553583691,1188.8005940116225,387.94613018402725,1182.048
2010.0,2588.9358889470786,470.83068241817637,133.25437639275745,2040.2208770980415,1604.454288006974,632.0360268559117,1439.08
2011.0,2735.252424719292,482.7184423986888,123.5149077768909,1866.2981628211144,2000.0868426296179,728.4661908435324,1524.545
2012.0,2806.7066512647884,493.8062303598794,126.69869658158188,2436.8426225658136,1865.4535870345271,1237.5528801983985,1587.529
2013.0,2933.4765958718217,506.62268649739093,116.05686689889087,3651.227782862777,2208.334663341708,1373.4570949692088,1695.0445
2014.0,3204.334847777454,519.8308205535823,116.52135066392387,3918.834236394589,2323.883557339691,1152.8089369524378,1850.7445000000002
2015.0,3284.579207592741,530.0792369567324,115.25503620172277,3290.4422291370893,2173.1549372290287,1198.627433165324,1886.3110000000001
2016.0,3736.1463003585086,545.2597323132447,111.31176075852692,3456.6268857020536,2432.404319359908,842.508145547945,1969.5635000000002
2017.0,3267.8912408088277,564.3837743454293,123.01324356913186,2756.0146862362167,2537.0068492187465,1190.4192473575372,1984.201
2018.0,3987.515238244515,622.4243134796242,45.114959247648905,1462.2800626959245,2723.5779937304083,747.3313479623824,2161.3
